Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1928-01-01 00:00:00-05:00,17.65999984741211,17.65999984741211,17.65999984741211,17.65999984741211,0,0.0,0.0
1929-01-01 00:00:00-05:00,24.350000381469727,24.350000381469727,24.350000381469727,24.350000381469727,0,0.0,0.0
1930-01-01 00:00:00-05:00,21.450000762939453,21.450000762939453,21.450000762939453,21.450000762939453,0,0.0,0.0
1931-01-01 00:00:00-05:00,15.34000015258789,15.34000015258789,15.34000015258789,15.34000015258789,0,0.0,0.0
1932-01-01 00:00:00-05:00,8.119999885559082,8.119999885559082,8.119999885559082,8.119999885559082,0,0.0,0.0
1933-01-01 00:00:00-05:00,6.920000076293945,6.920000076293945,6.920000076293945,6.920000076293945,0,0.0,0.0
1934-01-01 00:00:00-05:00,9.970000267028809,9.970000267028809,9.970000267028809,9.970000267028809,0,0.0,0.0
1935-01-01 00:00:00-05:00,9.5,9.5,9.5,9.5,0,0.0,0.0
1936-01-01 00:00:00-05:00,13.430000305175781,13.430000305175781,13.430000305175781,13.430000305175781,0,0.0,0.0
1937-01-01 00:00:00-05:00,17.18000030517578,17.18000030517578,17.18000030517578,17.18000030517578,0,0.0,0.0
1938-01-01 00:00:00-05:00,10.550000190734863,10.550000190734863,10.550000190734863,10.550000190734863,0,0.0,0.0
1939-01-01 00:00:00-05:00,13.140000343322754,13.140000343322754,13.140000343322754,13.140000343322754,0,0.0,0.0
1940-01-01 00:00:00-05:00,12.460000038146973,12.460000038146973,12.460000038146973,12.460000038146973,0,0.0,0.0
1941-01-01 00:00:00-05:00,10.579999923706055,10.579999923706055,10.579999923706055,10.579999923706055,0,0.0,0.0
1942-01-01 00:00:00-05:00,8.6899995803833,8.6899995803833,8.6899995803833,8.6899995803833,0,0.0,0.0
1943-01-01 00:00:00-04:00,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,0.0,0.0
1944-01-01 00:00:00-04:00,11.670000076293945,11.670000076293945,11.670000076293945,11.670000076293945,0,0.0,0.0
1945-01-01 00:00:00-04:00,13.279999732971191,13.279999732971191,13.279999732971191,13.279999732971191,0,0.0,0.0
1946-01-01 00:00:00-05:00,17.360000610351562,17.360000610351562,17.360000610351562,17.360000610351562,0,0.0,0.0
1947-01-01 00:00:00-05:00,15.300000190734863,15.300000190734863,15.300000190734863,15.300000190734863,0,0.0,0.0
1948-01-01 00:00:00-05:00,15.300000190734863,15.300000190734863,15.300000190734863,15.300000190734863,0,0.0,0.0
1949-01-01 00:00:00-05:00,15.199999809265137,15.199999809265137,15.199999809265137,15.199999809265137,0,0.0,0.0
1950-01-01 00:00:00-05:00,16.790000915527344,16.790000915527344,16.790000915527344,16.790000915527344,0,0.0,0.0
1951-01-01 00:00:00-05:00,20.43000030517578,20.43000030517578,20.43000030517578,20.43000030517578,3440000,0.0,0.0
1952-01-01 00:00:00-05:00,23.770000457763672,23.770000457763672,23.770000457763672,23.770000457763672,1440000,0.0,0.0
1953-01-01 00:00:00-05:00,26.56999969482422,26.56999969482422,26.56999969482422,26.56999969482422,2050000,0.0,0.0
1954-01-01 00:00:00-05:00,24.809999465942383,24.809999465942383,24.809999465942383,24.809999465942383,2490000,0.0,0.0
1955-01-01 00:00:00-05:00,35.97999954223633,35.97999954223633,35.97999954223633,35.97999954223633,3840000,0.0,0.0
1956-01-01 00:00:00-05:00,45.47999954223633,45.47999954223633,45.47999954223633,45.47999954223633,2820000,0.0,0.0
1957-01-01 00:00:00-05:00,46.66999816894531,46.66999816894531,46.66999816894531,46.66999816894531,3680000,0.0,0.0
1958-01-01 00:00:00-05:00,39.9900016784668,39.9900016784668,39.9900016784668,39.9900016784668,5070000,0.0,0.0
1959-01-01 00:00:00-05:00,55.209999084472656,55.209999084472656,55.209999084472656,55.209999084472656,3970000,0.0,0.0
1960-01-01 00:00:00-05:00,59.88999938964844,59.88999938964844,59.88999938964844,59.88999938964844,3810000,0.0,0.0
1961-01-01 00:00:00-05:00,58.11000061035156,58.11000061035156,58.11000061035156,58.11000061035156,5300000,0.0,0.0
1962-01-01 00:00:00-05:00,71.55000305175781,71.55000305175781,71.55000305175781,71.55000305175781,5370000,0.0,0.0
1963-01-01 00:00:00-05:00,0.0,63.43000030517578,62.68000030517578,63.099998474121094,5420000,0.0,0.0
1964-01-01 00:00:00-05:00,0.0,75.36000061035156,74.4000015258789,75.0199966430664,6730000,0.0,0.0
1965-01-01 00:00:00-05:00,0.0,85.18000030517578,84.18000030517578,84.75,6470000,0.0,0.0
1966-01-01 00:00:00-05:00,0.0,93.05000305175781,91.81999969482422,92.43000030517578,7240000,0.0,0.0
1967-01-01 00:00:00-05:00,0.0,81.13999938964844,79.66000366210938,80.33000183105469,11330000,0.0,0.0
1968-01-01 00:00:00-05:00,0.0,96.9000015258789,95.8499984741211,96.47000122070312,14950000,0.0,0.0
1969-01-01 00:00:00-05:00,0.0,104.61000061035156,102.9800033569336,103.86000061035156,13130000,0.0,0.0
1970-01-01 00:00:00-05:00,0.0,92.94000244140625,91.1500015258789,92.05999755859375,19380000,0.0,0.0
1971-01-01 00:00:00-05:00,0.0,92.79000091552734,91.36000061035156,92.1500015258789,13390000,0.0,0.0
1972-01-01 00:00:00-05:00,0.0,102.08999633789062,102.08999633789062,102.08999633789062,14040000,0.0,0.0
1973-01-01 00:00:00-05:00,0.0,118.7699966430664,116.69999694824219,118.05000305175781,27550000,0.0,0.0
1974-01-01 00:00:00-05:00,0.0,98.30000305175781,95.94999694824219,97.55000305175781,23470000,0.0,0.0
1975-01-01 00:00:00-05:00,0.0,69.04000091552734,67.1500015258789,68.55999755859375,20970000,0.0,0.0
1976-01-01 00:00:00-05:00,0.0,90.75,89.16999816894531,90.19000244140625,16970000,0.0,0.0
1977-01-01 00:00:00-05:00,0.0,107.81999969482422,106.55000305175781,107.45999908447266,19170000,0.0,0.0
1978-01-01 00:00:00-05:00,0.0,95.66999816894531,94.44000244140625,95.0999984741211,23560000,0.0,0.0
1979-01-01 00:00:00-05:00,0.0,97.02999877929688,95.4800033569336,96.11000061035156,30030000,0.0,0.0
1980-01-01 00:00:00-05:00,0.0,108.52999877929688,107.26000213623047,107.94000244140625,31530000,0.0,0.0
1981-01-01 00:00:00-05:00,0.0,136.75999450683594,134.2899932861328,135.75999450683594,41210000,0.0,0.0
1982-01-01 00:00:00-05:00,0.0,123.41999816894531,121.56999969482422,122.55000305175781,40780000,0.0,0.0
1983-01-01 00:00:00-05:00,140.33999633789062,140.77999877929688,140.27000427246094,140.63999938964844,42110000,0.0,0.0
1984-01-01 00:00:00-05:00,164.86000061035156,165.0500030517578,164.5800018310547,164.92999267578125,71840000,0.0,0.0
1985-01-01 00:00:00-05:00,166.25999450683594,167.33999633789062,166.05999755859375,167.24000549316406,80260000,0.0,0.0
1986-01-01 00:00:00-05:00,210.67999267578125,211.61000061035156,210.67999267578125,211.27999877929688,112700000,0.0,0.0
1987-01-01 00:00:00-05:00,243.3699951171875,244.02999877929688,241.27999877929688,242.1699981689453,139200000,0.0,0.0
1988-01-01 00:00:00-05:00,247.83999633789062,247.86000061035156,245.22000122070312,247.0800018310547,170140000,0.0,0.0
1989-01-01 00:00:00-05:00,279.3900146484375,279.7799987792969,277.7200012207031,277.7200012207031,127210000,0.0,0.0
1990-01-01 00:00:00-05:00,350.67999267578125,353.4100036621094,350.6700134277344,353.3999938964844,145940000,0.0,0.0
1991-01-01 00:00:00-05:00,328.7099914550781,330.2300109863281,327.5,330.2200012207031,114130000,0.0,0.0
1992-01-01 00:00:00-05:00,415.1400146484375,418.32000732421875,412.7300109863281,417.0899963378906,247080000,0.0,0.0
1993-01-01 00:00:00-05:00,438.82000732421875,439.5899963378906,435.7099914550781,435.7099914550781,165910000,0.0,0.0
1994-01-01 00:00:00-05:00,468.6600036621094,470.75,466.45001220703125,466.45001220703125,168590000,0.0,0.0
1995-01-01 00:00:00-05:00,461.1700134277344,462.1199951171875,459.239990234375,459.2699890136719,256260000,0.0,0.0
1996-01-01 00:00:00-05:00,614.1199951171875,615.9299926757812,612.3599853515625,615.9299926757812,321250000,0.0,0.0
1997-01-01 00:00:00-05:00,753.8499755859375,753.9500122070312,740.739990234375,740.739990234375,399760000,0.0,0.0
1998-01-01 00:00:00-05:00,970.8400268554688,975.02001953125,967.4099731445312,970.4299926757812,467280000,0.0,0.0
1999-01-01 00:00:00-05:00,1231.9300537109375,1237.1800537109375,1224.9599609375,1229.22998046875,719200000,0.0,0.0
2000-01-01 00:00:00-05:00,1464.469970703125,1472.4200439453125,1458.18994140625,1469.25,374050000,0.0,0.0
2001-01-01 00:00:00-05:00,1334.219970703125,1340.0999755859375,1317.510009765625,1320.280029296875,1035500000,0.0,0.0
2002-01-01 00:00:00-05:00,1161.02001953125,1161.1600341796875,1148.0400390625,1148.0799560546875,943600000,0.0,0.0
2003-01-01 00:00:00-05:00,879.3900146484375,881.9299926757812,869.4500122070312,879.8200073242188,1088500000,0.0,0.0
2004-01-01 00:00:00-05:00,1109.6400146484375,1112.56005859375,1106.2099609375,1111.9200439453125,1027500000,0.0,0.0
2005-01-01 00:00:00-05:00,1213.550048828125,1217.3299560546875,1211.6500244140625,1211.9200439453125,786900000,0.0,0.0
2006-01-01 00:00:00-05:00,1254.4200439453125,1254.4200439453125,1246.5899658203125,1248.2900390625,1443500000,0.0,0.0
2007-01-01 00:00:00-05:00,1424.7099609375,1427.0,1416.8399658203125,1418.300048828125,1678200000,0.0,0.0
2008-01-01 00:00:00-05:00,1475.25,1475.8299560546875,1465.1300048828125,1468.3599853515625,2440880000,0.0,0.0
2009-01-01 00:00:00-05:00,890.5900268554688,910.3200073242188,889.6699829101562,903.25,4172940000,0.0,0.0
